pdf, Part No.,Series Name,Size ( Dimension),Tolerance,T.C.R,Rated Power,Resistance Value
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07100KL,TR0402KR-07100KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),100 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07100RL,TR0402KR-07100RL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),100
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0710KL,TR0402KR-0710KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),10 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0710ML,TR0402KR-0710ML,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),10 000 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0710RL,TR0402KR-0710RL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),10
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07110KL,TR0402KR-07110KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),110 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07110RL,TR0402KR-07110RL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),110
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0711KL,TR0402KR-0711KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),11 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0711RL,TR0402KR-0711RL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),11
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07120KL,TR0402KR-07120KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),120 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07120RL,TR0402KR-07120RL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),120
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0712KL,TR0402KR-0712KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),12 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0712RL,TR0402KR-0712RL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),12
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07130KL,TR0402KR-07130KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),130 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07130RL,TR0402KR-07130RL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),130
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0713KL,TR0402KR-0713KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),13 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0713RL,TR0402KR-0713RL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),13
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07150KL,TR0402KR-07150KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),150 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07150RL,TR0402KR-07150RL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),150
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0715KL,TR0402KR-0715KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),15 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0715RL,TR0402KR-0715RL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),15
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07160KL,TR0402KR-07160KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),160 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07160RL,TR0402KR-07160RL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),160
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0716KL,TR0402KR-0716KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),16 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0716RL,TR0402KR-0716RL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),16
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07180KL,TR0402KR-07180KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),180 000
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-07180RL,TR0402KR-07180RL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),180
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TR0402KR-0718KL,TR0402KR-0718KL,Trimmable Chip Resistor,0402 (1005),±10%,Based on Spec,1/16W (0.0625W),18 000
